fromFIPS; toFIPS; flow; weightedflow; distance; popdiff; fromname; toname;
01051; 01001; 43; 7.3756432247; 0.505382726258; -3.240299582; ElmoreCounty, Alabama; AutaugaCounty, Alabama; 
01101; 01001; 19; 1.25395987328; 0.552102934243; -4.04379439233; MontgomeryCounty, Alabama; AutaugaCounty, Alabama; 
01053; 01003; 11; 3.90902629709; 0.739951356509; 4.04894650376; EscambiaCounty, Alabama; BaldwinCounty, Alabama; 
01073; 01003; 12; 0.257853796897; 3.0162963863; -4.51229741366; JeffersonCounty, Alabama; BaldwinCounty, Alabama; 
01081; 01003; 77; 8.8141025641; 3.08361736277; 3.72189301621; LeeCounty, Alabama; BaldwinCounty, Alabama; 
01097; 01003; 47; 1.57644059838; 0.451209862481; -4.19884945329; MobileCounty, Alabama; BaldwinCounty, Alabama; 
01117; 01003; 22; 1.49051490515; 2.81418977683; -2.8767949762; ShelbyCounty, Alabama; BaldwinCounty, Alabama; 
12033; 01003; 29; 1.34079245457; 0.409774035293; -3.88206894444; EscambiaCounty, Florida; BaldwinCounty, Alabama; 
22019; 01003; 20; 1.43348623853; 5.62842660874; 1.74036268949; CalcasieuParish, Louisiana; BaldwinCounty, Alabama; 
22071; 01003; 17; 0.657945661429; 2.27113569828; -4.07302145436; OrleansParish, Louisiana; BaldwinCounty, Alabama; 
UR; 01003; 36; .; 200; .; Europe; BaldwinCounty, Alabama; 
01031; 01005; 3; 0.856164383562; 72.6716929433; -3.20547503674; CoffeeCounty, Alabama; BarbourCounty, Alabama; 
01039; 01005; 17; 5.98591549296; 1.21705701592; -2.97358962343; CovingtonCounty, Alabama; BarbourCounty, Alabama; 
01067; 01005; 6; 4.97512437811; 0.390504724683; 2.84073323461; HenryCounty, Alabama; BarbourCounty, Alabama; 
01069; 01005; 25; 3.34941050375; 0.720804453371; -3.74546516867; HoustonCounty, Alabama; BarbourCounty, Alabama; 
01081; 01005; 11; 1.25915750916; 0.735269556013; -3.8348655799; LeeCounty, Alabama; BarbourCounty, Alabama; 
01083; 01005; 5; 0.723274989151; 3.33541963777; -3.70018432962; LimestoneCounty, Alabama; BarbourCounty, Alabama; 
01103; 01005; 4; 0.448984173308; 2.95846301988; -3.84571801797; MorganCounty, Alabama; BarbourCounty, Alabama; 
01105; 01005; 25; 36.9822485207; 2.03874792949; 3.08742645704; PerryCounty, Alabama; BarbourCounty, Alabama; 
01005; 01007; 7; 3.59158542842; 2.06778478812; -2.31386722037; BarbourCounty, Alabama; BibbCounty, Alabama; 
01021; 01007; 45; 14.7880381203; 0.431948480724; -3.11394335231; ChiltonCounty, Alabama; BibbCounty, Alabama; 
01069; 01007; 8; 1.0718113612; 2.6082327216; -3.75747194777; HoustonCounty, Alabama; BibbCounty, Alabama; 
01081; 01007; 15; 1.71703296703; 1.8212660569; -3.84466352824; LeeCounty, Alabama; BibbCounty, Alabama; 
01103; 01007; 8; 0.897968346616; 1.46572932358; -3.85527680383; MorganCounty, Alabama; BibbCounty, Alabama; 
01105; 01007; 8; 11.8343195266; 0.412028069432; 3.02816441942; PerryCounty, Alabama; BibbCounty, Alabama; 
01125; 01007; 134; 11.0288065844; 0.481532813004; -4.01732555456; TuscaloosaCounty, Alabama; BibbCounty, Alabama; 
01007; 01009; 20; 12.746972594; 1.11272753628; 3.42176840121; BibbCounty, Alabama; BlountCounty, Alabama; 
01051; 01009; 14; 2.40137221269; 1.44400564057; -3.20951501454; ElmoreCounty, Alabama; BlountCounty, Alabama; 
01073; 01009; 25; 0.537195410202; 0.536856116664; -4.62662774852; JeffersonCounty, Alabama; BlountCounty, Alabama; 
01095; 01009; 3; 0.470957613815; 0.413049355404; -3.33445375115; MarshallCounty, Alabama; BlountCounty, Alabama; 
01115; 01009; 3; 0.493827160494; 0.365051790846; -3.27067883614; St.ClairCounty, Alabama; BlountCounty, Alabama; 
SI; 01009; 13; .; 200; .; Asia; BlountCounty, Alabama; 
01005; 01011; 81; 41.5597742432; 0.388106235456; -3.08493357494; BarbourCounty, Alabama; BullockCounty, Alabama; 
01053; 01011; 10; 3.55366027008; 1.7511086317; -3.31827208021; EscambiaCounty, Alabama; BullockCounty, Alabama; 
01073; 01011; 12; 0.257853796897; 1.87034258359; -4.66091288748; JeffersonCounty, Alabama; BullockCounty, Alabama; 
01019; 01015; 10; 4.92610837438; 0.342066850192; 3.79975396641; CherokeeCounty, Alabama; CalhounCounty, Alabama; 
01029; 01015; 26; 23.8751147842; 0.322243696602; 3.86015826132; CleburneCounty, Alabama; CalhounCounty, Alabama; 
01055; 01015; 74; 10.0135317997; 0.34788276761; 2.9758911364; EtowahCounty, Alabama; CalhounCounty, Alabama; 
01073; 01015; 14; 0.300829429713; 1.09596117176; -4.58208610025; JeffersonCounty, Alabama; CalhounCounty, Alabama; 
01095; 01015; 10; 1.56985871272; 0.733709513363; 3.2935835135; MarshallCounty, Alabama; CalhounCounty, Alabama; 
01097; 01015; 2; 0.0670825786543; 3.89444217315; -4.33199383804; MobileCounty, Alabama; CalhounCounty, Alabama; 
01121; 01015; 24; 4.20683610868; 0.535562452007; 3.42012084809; TalladegaCounty, Alabama; CalhounCounty, Alabama; 
12091; 01015; 11; 0.769661349006; 3.20030957409; -3.77495468908; OkaloosaCounty, Florida; CalhounCounty, Alabama; 
SI; 01015; 26; .; 200; .; Asia; CalhounCounty, Alabama; 
01013; 01017; 24; 16.4383561644; 1.73914165611; 3.04688519084; ButlerCounty, Alabama; ChambersCounty, Alabama; 
01081; 01017; 2; 0.228937728938; 0.316288871129; -3.78972169398; LeeCounty, Alabama; ChambersCounty, Alabama; 
01111; 01017; 2; 1.18835412953; 0.385324655323; 2.94987770404; RandolphCounty, Alabama; ChambersCounty, Alabama; 
01005; 01019; 8; 4.10466906106; 2.21293078292; 1.61278385672; BarbourCounty, Alabama; CherokeeCounty, Alabama; 
01017; 01019; 3; 1.14766641163; 1.18111655648; -2.79518458968; ChambersCounty, Alabama; CherokeeCounty, Alabama; 
01049; 01019; 10; 2.08420175073; 0.419051369166; -3.44839710346; DeKalbCounty, Alabama; CherokeeCounty, Alabama; 
01117; 01021; 22; 1.49051490515; 0.411766268652; -4.06874229293; ShelbyCounty, Alabama; ChiltonCounty, Alabama; 
01121; 01021; 12; 2.10341805434; 0.754196048783; -3.42488163663; TalladegaCounty, Alabama; ChiltonCounty, Alabama; 
48201; 01023; 11; 0.0397495058414; 7.45605097086; -5.4404052601; HarrisCounty, Texas; ChoctawCounty, Alabama; 
01129; 01025; 6; 4.42151805453; 0.473934088244; 2.73078227567; WashingtonCounty, Alabama; ClarkeCounty, Alabama; 
01131; 01025; 19; 26.3522884882; 0.599643227261; 3.06966809691; WilcoxCounty, Alabama; ClarkeCounty, Alabama; 
01015; 01029; 9; 1.09011627907; 0.322243696602; -3.85799549556; CalhounCounty, Alabama; CleburneCounty, Alabama; 
01011; 01031; 8; 12.61829653; 72.7497459164; 3.46074754184; BullockCounty, Alabama; CoffeeCounty, Alabama; 
01045; 01031; 13; 3.79672897196; 73.1179689929; 1.9956351946; DaleCounty, Alabama; CoffeeCounty, Alabama; 
01061; 01031; 2; 1.0781671159; 73.5054072669; 3.2221960463; GenevaCounty, Alabama; CoffeeCounty, Alabama; 
01069; 01031; 17; 2.27759914255; 73.0698835995; -3.59560643487; HoustonCounty, Alabama; CoffeeCounty, Alabama; 
01097; 01031; 2; 0.0670825786543; 75.5459324624; -4.41980710517; MobileCounty, Alabama; CoffeeCounty, Alabama; 
01109; 01031; 9; 4.8231511254; 73.1191247604; 3.21932250842; PikeCounty, Alabama; CoffeeCounty, Alabama; 
01121; 01031; 3; 0.525854513585; 72.2597434283; -3.33885474625; TalladegaCounty, Alabama; CoffeeCounty, Alabama; 
12091; 01031; 15; 1.04953820319; 74.3613095207; -4.03217537696; OkaloosaCounty, Florida; CoffeeCounty, Alabama; 
12113; 01031; 7; 0.558525492699; 74.6484234219; -3.95472479098; SantaRosaCounty, Florida; CoffeeCounty, Alabama; 
37051; 01031; 2; 0.0975276734773; 65.6884753786; -4.23003998116; CumberlandCounty, NorthCarolina; CoffeeCounty, Alabama; 
SI; 01031; 11; .; 200; .; Asia; CoffeeCounty, Alabama; 
UR; 01031; 17; .; 200; .; Europe; CoffeeCounty, Alabama; 
01077; 01033; 21; 3.2154340836; 0.25110007965; -3.41262852054; LauderdaleCounty, Alabama; ColbertCounty, Alabama; 
